insured_sex_FEMALE,insured_sex_MALE,collision_type_Front Collision,collision_type_No Collision,collision_type_Rear Collision,collision_type_Side Collision,policy_csl_100/300,policy_csl_250/500,policy_csl_500/1000,insured_occupation,incident_type_Single Vehicle Collision,incident_type_Parked Car,incident_type_Vehicle Theft,policy_state_IL,policy_state_IN,policy_state_OH,lat,incident_severity,property_claim,insured_hobbies
0,1,0,1,0,0,0,1,0,6,0,1,0,0,0,1,34.00654389795918,1,482,12
0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,1,41.506252,3,11974,3
0,1,0,0,1,0,1,0,0,6,0,0,0,1,0,0,35.976713694179466,2,7097,13
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,45.7705276228844,2,12684,14
1,0,0,0,0,1,1,0,0,3,1,0,0,0,0,1,34.00654389795918,1,16497,8
0,1,0,0,0,1,0,0,1,6,1,0,0,0,0,1,36.0103562,2,5017,0
0,1,0,0,0,1,1,0,0,13,1,0,0,0,1,0,31.509137564552635,1,11889,10
0,1,0,0,0,1,1,0,0,10,1,0,0,1,0,0,34.00654389795918,1,10113,2
1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,1,34.00654389795918,0,623,4
1,0,0,0,1,0,1,0,0,9,1,0,0,1,0,0,32.72349842773115,2,18191,17
0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,50.5180856,1,5433,15
1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,40.73370818684854,3,6766,7
1,0,1,0,0,0,1,0,0,13,0,0,0,1,0,0,27.3626203,2,11915,12
0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,1,33.2212291,1,6655,0
1,0,0,0,1,0,0,1,0,8,1,0,0,0,0,1,43.8928696,3,5545,8
0,1,1,0,0,0,1,0,0,12,0,0,0,1,0,0,35.13399515794569,1,4033,17
0,1,0,0,0,1,0,1,0,7,0,0,0,0,0,1,38.63643959778589,1,11006,12
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,50.5180856,1,5262,17
0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,38.687307213036995,1,621,13
0,1,0,0,1,0,1,0,0,8,0,0,0,0,1,0,34.00654389795918,3,11654,10
0,1,1,0,0,0,0,0,1,8,0,0,0,0,1,0,14.278304602267792,3,4526,18
1,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,34.00654389795918,2,12728,12
1,0,1,0,0,0,0,1,0,10,1,0,0,0,0,1,33.2212291,1,8055,10
1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,34.00654389795918,3,6547,11
0,1,0,1,0,0,0,1,0,11,0,1,0,0,1,0,42.53740031190558,0,888,15
1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,34.00654389795918,2,7767,11
1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,34.00654389795918,3,10576,13
1,0,0,0,1,0,0,1,0,7,0,0,0,1,0,0,45.21363746458097,1,13596,13
0,1,0,1,0,0,0,1,0,13,0,0,1,0,0,1,51.6889993,0,717,19
1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,35.78993715196597,3,15738,7
0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,1,34.00654389795918,1,14368,8
1,0,0,1,0,0,0,0,1,8,0,1,0,1,0,0,30.060697015578956,1,830,9
0,1,0,0,0,1,1,0,0,9,0,0,0,0,1,0,37.37176063165217,3,8506,9
0,1,0,1,0,0,0,0,1,11,0,1,0,0,1,0,31.0928547,1,1083,3
0,1,0,0,0,1,1,0,0,7,1,0,0,0,0,1,-35.156698785134814,3,4456,14
1,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,34.00654389795918,3,10616,4
